NAME                      VERSION                         TYPE
Simple Launcher           1.1.0.14                        binary  (+5 duplicates)
adduser                   3.134                           deb
aiohappyeyeballs          2.6.1                           python
aiohttp                   3.13.0                          python
aiosignal                 1.4.0                           python
alembic                   1.17.0                          python
amqp                      5.3.1                           python
annotated-types           0.7.0                           python
antlr4-python3-runtime    4.9.3                           python
anyio                     4.11.0                          python
apt                       2.6.1                           deb
argon2-cffi               25.1.0                          python
argon2-cffi-bindings      25.1.0                          python
asteroid-filterbanks      0.4.0                           python
attrs                     25.4.0                          python
autocommand               2.2.2                           python
av                        15.1.0                          python
backports-tarfile         1.2.0                           python
base-files                12.4+deb12u12                   deb
base-passwd               3.6.1                           deb
bash                      5.2.15-2+b9                     deb
bcrypt                    3.2.2                           python
billiard                  4.2.2                           python
bsdutils                  1:2.38.1-5+deb12u3              deb
ca-certificates           20230311+deb12u1                deb
celery                    5.5.3                           python
certifi                   2025.10.5                       python
cffi                      2.0.0                           python
charset-normalizer        3.4.4                           python
cli                       UNKNOWN                         binary
cli-32                    UNKNOWN                         binary
cli-64                    UNKNOWN                         binary
cli-arm64                 UNKNOWN                         binary
click                     8.3.0                           python
click-didyoumean          0.3.1                           python
click-plugins             1.1.1.2                         python
click-repl                0.3.0                           python
coloredlogs               15.0.1                          python
colorlog                  6.9.0                           python
contourpy                 1.3.3                           python
coreutils                 9.1-1                           deb
cryptography              46.0.3                          python
ctranslate2               4.6.0                           python
curl                      7.88.1-10+deb12u14              deb
cycler                    0.12.1                          python
dash                      0.5.12-2                        deb
debconf                   1.5.82                          deb
debian-archive-keyring    2023.3+deb12u2                  deb
debianutils               5.7-0.5~deb12u1                 deb
diffutils                 1:3.8-4                         deb
dnspython                 2.8.0                           python
docopt                    0.6.2                           python
dpkg                      1.21.22                         deb
e2fsprogs                 1.47.0-2+b2                     deb
ecdsa                     0.19.1                          python
einops                    0.8.1                           python
email-validator           2.3.0                           python
events                    0.5                             python
fastapi                   0.119.0                         python
faster-whisper            1.2.0                           python
ffmpeg                    7:5.1.7-0+deb12u1               deb
ffmpeg-python             0.2.0                           python
filelock                  3.20.0                          python
findutils                 4.9.0-4                         deb
flatbuffers               25.9.23                         python
flower                    2.0.1                           python
fontconfig                2.14.1-4                        deb
fontconfig-config         2.14.1-4                        deb
fonts-dejavu-core         2.37-6                          deb
fonttools                 4.60.1                          python
frozenlist                1.8.0                           python
fsspec                    2025.9.0                        python
future                    1.0.0                           python
gcc-12-base               12.2.0-14+deb12u1               deb
gpgv                      2.2.40-1.1+deb12u1              deb
greenlet                  3.2.4                           python
grep                      3.8-5                           deb
gui                       UNKNOWN                         binary
gui-32                    UNKNOWN                         binary
gui-64                    UNKNOWN                         binary
gui-arm64                 UNKNOWN                         binary
gzip                      1.12-1                          deb
h11                       0.16.0                          python
hf-xet                    1.1.10                          python
hostname                  3.23+nmu1                       deb
httpcore                  1.0.9                           python
httptools                 0.7.1                           python
httpx                     0.28.1                          python
huggingface-hub           0.35.3                          python
humanfriendly             10.0                            python
humanize                  4.14.0                          python
hyperpyyaml               1.2.2                           python
idna                      3.11                            python
importlib-metadata        8.0.0                           python
inflect                   7.3.1                           python
iniconfig                 2.1.0                           python
init-system-helpers       1.65.2+deb12u1                  deb
jaraco-collections        5.1.0                           python
jaraco-context            5.3.0                           python
jaraco-functools          4.0.1                           python
jaraco-text               3.12.1                          python
jinja2                    3.1.6                           python
joblib                    1.5.2                           python
julius                    0.2.7                           python
kiwisolver                1.4.9                           python
kombu                     5.5.4                           python
libacl1                   2.3.1-3                         deb
libaom3                   3.6.0-1+deb12u2                 deb
libapt-pkg6.0             2.6.1                           deb
libasound2                1.2.8-1+b1                      deb
libasound2-data           1.2.8-1                         deb
libass9                   1:0.17.1-1                      deb
libasyncns0               0.8-6+b3                        deb
libattr1                  1:2.5.1-4                       deb
libaudit-common           1:3.0.9-1                       deb
libaudit1                 1:3.0.9-1                       deb
libavc1394-0              0.5.4-5                         deb
libavcodec59              7:5.1.7-0+deb12u1               deb
libavdevice59             7:5.1.7-0+deb12u1               deb
libavfilter8              7:5.1.7-0+deb12u1               deb
libavformat59             7:5.1.7-0+deb12u1               deb
libavutil57               7:5.1.7-0+deb12u1               deb
libblas3                  3.11.0-2                        deb
libblkid1                 2.38.1-5+deb12u3                deb
libbluray2                1:1.3.4-1                       deb
libbrotli1                1.0.9-2+b6                      deb
libbs2b0                  3.1.0+dfsg-7                    deb
libbsd0                   0.11.7-2                        deb
libbz2-1.0                1.0.8-5+b1                      deb
libc-bin                  2.36-9+deb12u13                 deb
libc6                     2.36-9+deb12u13                 deb
libcaca0                  0.99.beta20-3                   deb
libcairo-gobject2         1.16.0-7                        deb
libcairo2                 1.16.0-7                        deb
libcap-ng0                0.8.3-1+b3                      deb
libcap2                   1:2.66-4+deb12u2                deb
libcdio-cdda2             10.2+2.0.1-1                    deb
libcdio-paranoia2         10.2+2.0.1-1                    deb
libcdio19                 2.1.0-4                         deb
libchromaprint1           1.5.1-2+b1                      deb
libcjson1                 1.7.15-1+deb12u4                deb
libcodec2-1.0             1.0.5-1                         deb
libcom-err2               1.47.0-2+b2                     deb
libcrypt1                 1:4.4.33-2                      deb
libcurl4                  7.88.1-10+deb12u14              deb
libdatrie1                0.2.13-2+b1                     deb
libdav1d6                 1.0.0-2+deb12u1                 deb
libdb5.3                  5.3.28+dfsg2-1                  deb
libdbus-1-3               1.14.10-1~deb12u1               deb
libdc1394-25              2.2.6-4                         deb
libdebconfclient0         0.270                           deb
libdecor-0-0              0.1.1-2                         deb
libdeflate0               1.14-1                          deb
libdrm-amdgpu1            2.4.114-1+b1                    deb
libdrm-common             2.4.114-1                       deb
libdrm-intel1             2.4.114-1+b1                    deb
libdrm-nouveau2           2.4.114-1+b1                    deb
libdrm-radeon1            2.4.114-1+b1                    deb
libdrm2                   2.4.114-1+b1                    deb
libedit2                  3.1-20221030-2                  deb
